Entity1,Gender of Entity1,Entity2,Relation,Entity1 Position,Entity2 Position,Sentence
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[246, 270]","[167, 175]","Princess Dorothea Maria Henriette Auguste Louise of Saxe-Coburg and Gotha [ 1 ] [ 2 ] ( 30 April 1881 – 21 January 1967 ) [ 1 ] [ 2 ] was a princess of Saxe-Coburg and Gotha ( German : Prinzessin von Sachsen-Coburg und Gotha ) by birth and the duchess of Schleswig-Holstein ( German : Herzogin zu Schleswig-Holstein ) [ 1 ] [ 2 ] through her marriage to Ernst Gunther , duke of Schleswig-Holstein ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[246, 270]","[167, 175]","Dorothea was born in Vienna , Austria , the second child and only daughter of Prince Philipp of Saxe-Coburg and Gotha and Princess Louise of Belgium ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[246, 270]","[167, 175]","[ 1 ] [ 2 ] Dorothea married Ernst Gunther , Duke of Schleswig-Holstein , fifth child and third-eldest son of Frederick VIII , Duke of Schleswig-Holstein and his wife Princess Adelheid of Hohenlohe-Langenburg , on 2 August 1898 in Coburg , Duchy of Saxe-Coburg and Gotha ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[246, 270]","[167, 175]","In 1920 , they adopted Princess Marie Luise ( 1908–1969 ) and Prince Johann Georg of Schleswig-Holstein-Sonderburg-Glücksburg ( 1911–1941 ) , son and daughter of Prince Albrecht of Schleswig-Holstein-Sonderburg-Glücksburg and his wife Countess Ortrud of Ysenburg und Büdingen ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[246, 270]","[167, 175]","Marie Luise and Johann Georg were grandchildren of Friedrich , Duke of Schleswig-Holstein-Sonderburg-Glücksburg , an older brother of Christian IX of Denmark.Princess Dorothea died at Schloss Taxis , Dischingen , Baden-Württemberg , Germany , aged 85 ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[23, 31]","[23, 31]","Princess Dorothea Maria Henriette Auguste Louise of Saxe-Coburg and Gotha [ 1 ] [ 2 ] ( 30 April 1881 – 21 January 1967 ) [ 1 ] [ 2 ] was a princess of Saxe-Coburg and Gotha ( German : Prinzessin von Sachsen-Coburg und Gotha ) by birth and the duchess of Schleswig-Holstein ( German : Herzogin zu Schleswig-Holstein ) [ 1 ] [ 2 ] through her marriage to Ernst Gunther , duke of Schleswig-Holstein ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[23, 31]","[23, 31]","Dorothea was born in Vienna , Austria , the second child and only daughter of Prince Philipp of Saxe-Coburg and Gotha and Princess Louise of Belgium ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[23, 31]","[23, 31]","[ 1 ] [ 2 ] Dorothea married Ernst Gunther , Duke of Schleswig-Holstein , fifth child and third-eldest son of Frederick VIII , Duke of Schleswig-Holstein and his wife Princess Adelheid of Hohenlohe-Langenburg , on 2 August 1898 in Coburg , Duchy of Saxe-Coburg and Gotha ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[23, 31]","[23, 31]","In 1920 , they adopted Princess Marie Luise ( 1908–1969 ) and Prince Johann Georg of Schleswig-Holstein-Sonderburg-Glücksburg ( 1911–1941 ) , son and daughter of Prince Albrecht of Schleswig-Holstein-Sonderburg-Glücksburg and his wife Countess Ortrud of Ysenburg und Büdingen ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[23, 31]","[23, 31]","Marie Luise and Johann Georg were grandchildren of Friedrich , Duke of Schleswig-Holstein-Sonderburg-Glücksburg , an older brother of Christian IX of Denmark.Princess Dorothea died at Schloss Taxis , Dischingen , Baden-Württemberg , Germany , aged 85 ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[158, 175]","[158, 166]","Princess Dorothea Maria Henriette Auguste Louise of Saxe-Coburg and Gotha [ 1 ] [ 2 ] ( 30 April 1881 – 21 January 1967 ) [ 1 ] [ 2 ] was a princess of Saxe-Coburg and Gotha ( German : Prinzessin von Sachsen-Coburg und Gotha ) by birth and the duchess of Schleswig-Holstein ( German : Herzogin zu Schleswig-Holstein ) [ 1 ] [ 2 ] through her marriage to Ernst Gunther , duke of Schleswig-Holstein ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[158, 175]","[158, 166]","Dorothea was born in Vienna , Austria , the second child and only daughter of Prince Philipp of Saxe-Coburg and Gotha and Princess Louise of Belgium ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[158, 175]","[158, 166]","[ 1 ] [ 2 ] Dorothea married Ernst Gunther , Duke of Schleswig-Holstein , fifth child and third-eldest son of Frederick VIII , Duke of Schleswig-Holstein and his wife Princess Adelheid of Hohenlohe-Langenburg , on 2 August 1898 in Coburg , Duchy of Saxe-Coburg and Gotha ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[158, 175]","[158, 166]","In 1920 , they adopted Princess Marie Luise ( 1908–1969 ) and Prince Johann Georg of Schleswig-Holstein-Sonderburg-Glücksburg ( 1911–1941 ) , son and daughter of Prince Albrecht of Schleswig-Holstein-Sonderburg-Glücksburg and his wife Countess Ortrud of Ysenburg und Büdingen ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[158, 175]","[158, 166]","Marie Luise and Johann Georg were grandchildren of Friedrich , Duke of Schleswig-Holstein-Sonderburg-Glücksburg , an older brother of Christian IX of Denmark.Princess Dorothea died at Schloss Taxis , Dischingen , Baden-Württemberg , Germany , aged 85 ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,"Ernst Gunther, Duke of Schleswig-Holstein",spouse,"[49, 73]","[354, 367]","Princess Dorothea Maria Henriette Auguste Louise of Saxe-Coburg and Gotha [ 1 ] [ 2 ] ( 30 April 1881 – 21 January 1967 ) [ 1 ] [ 2 ] was a princess of Saxe-Coburg and Gotha ( German : Prinzessin von Sachsen-Coburg und Gotha ) by birth and the duchess of Schleswig-Holstein ( German : Herzogin zu Schleswig-Holstein ) [ 1 ] [ 2 ] through her marriage to Ernst Gunther , duke of Schleswig-Holstein ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,"Ernst Gunther, Duke of Schleswig-Holstein",spouse,"[49, 73]","[354, 367]","[ 1 ] [ 2 ] Dorothea married Ernst Gunther , Duke of Schleswig-Holstein , fifth child and third-eldest son of Frederick VIII , Duke of Schleswig-Holstein and his wife Princess Adelheid of Hohenlohe-Langenburg , on 2 August 1898 in Coburg , Duchy of Saxe-Coburg and Gotha ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,"Ernst Gunther, Duke of Schleswig-Holstein",spouse,"[246, 270]","[45, 71]","Princess Dorothea Maria Henriette Auguste Louise of Saxe-Coburg and Gotha [ 1 ] [ 2 ] ( 30 April 1881 – 21 January 1967 ) [ 1 ] [ 2 ] was a princess of Saxe-Coburg and Gotha ( German : Prinzessin von Sachsen-Coburg und Gotha ) by birth and the duchess of Schleswig-Holstein ( German : Herzogin zu Schleswig-Holstein ) [ 1 ] [ 2 ] through her marriage to Ernst Gunther , duke of Schleswig-Holstein ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,"Ernst Gunther, Duke of Schleswig-Holstein",spouse,"[246, 270]","[45, 71]","[ 1 ] [ 2 ] Dorothea married Ernst Gunther , Duke of Schleswig-Holstein , fifth child and third-eldest son of Frederick VIII , Duke of Schleswig-Holstein and his wife Princess Adelheid of Hohenlohe-Langenburg , on 2 August 1898 in Coburg , Duchy of Saxe-Coburg and Gotha ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,"April 30, 1881",birthDate,"[49, 73]","[91, 101]","Princess Dorothea Maria Henriette Auguste Louise of Saxe-Coburg and Gotha [ 1 ] [ 2 ] ( 30 April 1881 – 21 January 1967 ) [ 1 ] [ 2 ] was a princess of Saxe-Coburg and Gotha ( German : Prinzessin von Sachsen-Coburg und Gotha ) by birth and the duchess of Schleswig-Holstein ( German : Herzogin zu Schleswig-Holstein ) [ 1 ] [ 2 ] through her marriage to Ernst Gunther , duke of Schleswig-Holstein ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Vienna,birthPlace,"[93, 117]","[21, 27]","Dorothea was born in Vienna , Austria , the second child and only daughter of Prince Philipp of Saxe-Coburg and Gotha and Princess Louise of Belgium ."
Barbara Colley,Female,Romance,hypernym,"[3, 9]","[221, 228]","`` Colley 's awards include the 2003 `` Reviewer 's Choice Award for Best First Mystery '' , the 1996 `` Distinguished Artist Award '' because of her contribution to the literary arts in Louisiana , and the 1992 Oklahoma Romance Writers of America National Reader 's Choice '' for her romantic suspense novel Gulf Breezes.Colley once worked as a line dispatcher in the former Louisiana Army Ammunition Plant and edited the classified advertising section of the Minden Press-Herald newspaper ."
Barbara Colley,Female,Alfred David Colley,spouse,"[91, 97]","[78, 97]","She graduated in 1965 from Minden High School along with her future husband , Alfred David Colley ( born April 20 , 1947 ) ."
Barbara Colley,Female,"July 26, 1947",birthDate,"[0, 8]","[32, 39]","Barbara Ann Logan Colley ( born July 26 , 1947 ) is a romance and mystery novelist based in New Orleans , Louisiana ."
Barbara Colley,Female,Louisiana,birthPlace,"[0, 8]","[106, 115]","Barbara Ann Logan Colley ( born July 26 , 1947 ) is a romance and mystery novelist based in New Orleans , Louisiana ."
Barbara Colley,Female,Louisiana,birthPlace,"[0, 8]","[106, 115]","In 2010 , she released Dusted to Death.Colley was born in Ringgold in Bienville Parish in North Louisiana to Charles Logan and the former Doris B. Wilson ( 1927-2016 ) , who was a later resident of Heflin in Webster Parish ."
Barbara Colley,Female,Louisiana,birthPlace,"[0, 8]","[106, 115]","`` Colley 's awards include the 2003 `` Reviewer 's Choice Award for Best First Mystery '' , the 1996 `` Distinguished Artist Award '' because of her contribution to the literary arts in Louisiana , and the 1992 Oklahoma Romance Writers of America National Reader 's Choice '' for her romantic suspense novel Gulf Breezes.Colley once worked as a line dispatcher in the former Louisiana Army Ammunition Plant and edited the classified advertising section of the Minden Press-Herald newspaper ."
Barbara Colley,Female,Louisiana,birthPlace,"[39, 45]","[96, 105]","Barbara Ann Logan Colley ( born July 26 , 1947 ) is a romance and mystery novelist based in New Orleans , Louisiana ."
Barbara Colley,Female,Louisiana,birthPlace,"[39, 45]","[96, 105]","In 2010 , she released Dusted to Death.Colley was born in Ringgold in Bienville Parish in North Louisiana to Charles Logan and the former Doris B. Wilson ( 1927-2016 ) , who was a later resident of Heflin in Webster Parish ."
Barbara Colley,Female,Louisiana,birthPlace,"[39, 45]","[96, 105]","`` Colley 's awards include the 2003 `` Reviewer 's Choice Award for Best First Mystery '' , the 1996 `` Distinguished Artist Award '' because of her contribution to the literary arts in Louisiana , and the 1992 Oklahoma Romance Writers of America National Reader 's Choice '' for her romantic suspense novel Gulf Breezes.Colley once worked as a line dispatcher in the former Louisiana Army Ammunition Plant and edited the classified advertising section of the Minden Press-Herald newspaper ."
Barbara Colley,Female,Louisiana,birthPlace,"[3, 9]","[187, 196]","Barbara Ann Logan Colley ( born July 26 , 1947 ) is a romance and mystery novelist based in New Orleans , Louisiana ."
Barbara Colley,Female,Louisiana,birthPlace,"[3, 9]","[187, 196]","In 2010 , she released Dusted to Death.Colley was born in Ringgold in Bienville Parish in North Louisiana to Charles Logan and the former Doris B. Wilson ( 1927-2016 ) , who was a later resident of Heflin in Webster Parish ."
Barbara Colley,Female,Louisiana,birthPlace,"[3, 9]","[187, 196]","`` Colley 's awards include the 2003 `` Reviewer 's Choice Award for Best First Mystery '' , the 1996 `` Distinguished Artist Award '' because of her contribution to the literary arts in Louisiana , and the 1992 Oklahoma Romance Writers of America National Reader 's Choice '' for her romantic suspense novel Gulf Breezes.Colley once worked as a line dispatcher in the former Louisiana Army Ammunition Plant and edited the classified advertising section of the Minden Press-Herald newspaper ."
Princess Milica of Montenegro,Female,Princess,hypernym,"[0, 16]","[0, 9]","Princess Milica Petrović-Njegoš of Montenegro , also known as Grand Duchess Militza Nikolaevna of Russia , ( 14 July 1866 in Cetinje , Montenegro – 5 September 1951 in Alexandria , Egypt ) was a Montenegrin princess ."
Princess Milica of Montenegro,Female,Princess,hypernym,"[0, 16]","[0, 9]",They helped to introduce to the Imperial Family first a charlatan mystic named Philippe Nizier-Vashod ( usually referred to merely as `` Philippe '' ) and then Grigori Rasputin [ 2 ] .Grand Duke Peter Nikolaevich of Russia and Princess Milica were married on 26 July 1889 in Saint Petersburg .
Princess Milica of Montenegro,Female,Princess,hypernym,"[227, 242]","[227, 235]","Princess Milica Petrović-Njegoš of Montenegro , also known as Grand Duchess Militza Nikolaevna of Russia , ( 14 July 1866 in Cetinje , Montenegro – 5 September 1951 in Alexandria , Egypt ) was a Montenegrin princess ."
Princess Milica of Montenegro,Female,Princess,hypernym,"[227, 242]","[227, 235]",They helped to introduce to the Imperial Family first a charlatan mystic named Philippe Nizier-Vashod ( usually referred to merely as `` Philippe '' ) and then Grigori Rasputin [ 2 ] .Grand Duke Peter Nikolaevich of Russia and Princess Milica were married on 26 July 1889 in Saint Petersburg .
Princess Milica of Montenegro,Female,Grand Duke Peter Nikolaevich of Russia,spouse,"[0, 16]","[95, 104]","Princess Milica Petrović-Njegoš of Montenegro , also known as Grand Duchess Militza Nikolaevna of Russia , ( 14 July 1866 in Cetinje , Montenegro – 5 September 1951 in Alexandria , Egypt ) was a Montenegrin princess ."
Princess Milica of Montenegro,Female,Grand Duke Peter Nikolaevich of Russia,spouse,"[0, 16]","[95, 104]",They helped to introduce to the Imperial Family first a charlatan mystic named Philippe Nizier-Vashod ( usually referred to merely as `` Philippe '' ) and then Grigori Rasputin [ 2 ] .Grand Duke Peter Nikolaevich of Russia and Princess Milica were married on 26 July 1889 in Saint Petersburg .
Princess Milica of Montenegro,Female,Grand Duke Peter Nikolaevich of Russia,spouse,"[227, 242]","[184, 222]","Princess Milica Petrović-Njegoš of Montenegro , also known as Grand Duchess Militza Nikolaevna of Russia , ( 14 July 1866 in Cetinje , Montenegro – 5 September 1951 in Alexandria , Egypt ) was a Montenegrin princess ."
Princess Milica of Montenegro,Female,Grand Duke Peter Nikolaevich of Russia,spouse,"[227, 242]","[184, 222]",They helped to introduce to the Imperial Family first a charlatan mystic named Philippe Nizier-Vashod ( usually referred to merely as `` Philippe '' ) and then Grigori Rasputin [ 2 ] .Grand Duke Peter Nikolaevich of Russia and Princess Milica were married on 26 July 1889 in Saint Petersburg .
Princess Milica of Montenegro,Female,"July 14, 1866",birthDate,"[0, 16]","[112, 121]","Princess Milica Petrović-Njegoš of Montenegro , also known as Grand Duchess Militza Nikolaevna of Russia , ( 14 July 1866 in Cetinje , Montenegro – 5 September 1951 in Alexandria , Egypt ) was a Montenegrin princess ."
Princess Milica of Montenegro,Female,Cetinje,birthPlace,"[0, 16]","[125, 132]","Princess Milica Petrović-Njegoš of Montenegro , also known as Grand Duchess Militza Nikolaevna of Russia , ( 14 July 1866 in Cetinje , Montenegro – 5 September 1951 in Alexandria , Egypt ) was a Montenegrin princess ."
Gene Tierney,Female,Film,hypernym,"[17, 24]","[138, 142]","[ 22 ] In 1986 , Tierney was honored alongside actor Gregory Peck with the first Donostia Lifetime Achievement Award at the San Sebastian Film Festival in Spain ."
Gene Tierney,Female,Oleg Cassini,spouse,"[22, 29]","[62, 74]","[ 4 ] [ page needed ] Tierney married two men : the first was Oleg Cassini , a costume and fashion designer , on June 1 , 1941 , with whom she eloped ."
Gene Tierney,Female,"November 19, 1920",birthDate,"[0, 5]","[21, 32]","Gene Eliza Tierney ( November 19 , 1920 – November 6 , 1991 ) [ 1 ] was an American film and stage actress ."
Gene Tierney,Female,"November 19, 1920",birthDate,"[0, 5]","[21, 32]","[ 4 ] Tierney 's other roles include Martha Strable Van Cleve in Heaven Can Wait ( 1943 ) , Isabel Bradley Maturin in The Razor 's Edge ( 1946 ) , Lucy Muir in The Ghost and Mrs. Muir ( 1947 ) , Ann Sutton in Whirlpool ( 1949 ) , Maggie Carleton McNulty in The Mating Season ( 1951 ) , and Anne Scott in The Left Hand of God ( 1955 ) .Tierney was born on November 19 , 1920 in Brooklyn , New York , the daughter of Howard Sherwood Tierney and Belle Lavinia Taylor ."
Gene Tierney,Female,"November 19, 1920",birthDate,"[6, 13]","[355, 366]","Gene Eliza Tierney ( November 19 , 1920 – November 6 , 1991 ) [ 1 ] was an American film and stage actress ."
Gene Tierney,Female,"November 19, 1920",birthDate,"[6, 13]","[355, 366]","[ 4 ] Tierney 's other roles include Martha Strable Van Cleve in Heaven Can Wait ( 1943 ) , Isabel Bradley Maturin in The Razor 's Edge ( 1946 ) , Lucy Muir in The Ghost and Mrs. Muir ( 1947 ) , Ann Sutton in Whirlpool ( 1949 ) , Maggie Carleton McNulty in The Mating Season ( 1951 ) , and Anne Scott in The Left Hand of God ( 1955 ) .Tierney was born on November 19 , 1920 in Brooklyn , New York , the daughter of Howard Sherwood Tierney and Belle Lavinia Taylor ."
Gene Tierney,Female,Brooklyn,birthPlace,"[6, 13]","[377, 385]","[ 4 ] Tierney 's other roles include Martha Strable Van Cleve in Heaven Can Wait ( 1943 ) , Isabel Bradley Maturin in The Razor 's Edge ( 1946 ) , Lucy Muir in The Ghost and Mrs. Muir ( 1947 ) , Ann Sutton in Whirlpool ( 1949 ) , Maggie Carleton McNulty in The Mating Season ( 1951 ) , and Anne Scott in The Left Hand of God ( 1955 ) .Tierney was born on November 19 , 1920 in Brooklyn , New York , the daughter of Howard Sherwood Tierney and Belle Lavinia Taylor ."
Nora Barry Fischer,Female,Judge,hypernym,"[0, 19]","[77, 82]","Nora Barry Fischer ( born June 15 , 1951 ) [ 1 ] is a United States District Judge of the United States District Court for the Western District of Pennsylvania.Fischer was born Nora Barry in Homestead , Pennsylvania , to Michael T. Barry and Olga Stipetich Barry , both first generation United States citizens ."
Nora Barry Fischer,Female,Dr. Donald R. Fischer,spouse,"[12, 19]","[38, 46]",[ 4 ] [ 5 ] Fischer is married to Dr. Donald R. Fischer .
Nora Barry Fischer,Female,"June 15, 1951",birthDate,"[0, 19]","[26, 33]","Nora Barry Fischer ( born June 15 , 1951 ) [ 1 ] is a United States District Judge of the United States District Court for the Western District of Pennsylvania.Fischer was born Nora Barry in Homestead , Pennsylvania , to Michael T. Barry and Olga Stipetich Barry , both first generation United States citizens ."
Nora Barry Fischer,Female,"Homestead, Pennsylvania",birthPlace,"[0, 19]","[191, 200]","Nora Barry Fischer ( born June 15 , 1951 ) [ 1 ] is a United States District Judge of the United States District Court for the Western District of Pennsylvania.Fischer was born Nora Barry in Homestead , Pennsylvania , to Michael T. Barry and Olga Stipetich Barry , both first generation United States citizens ."
Anna Eshoo,Female,Representative,hypernym,"[0, 5]","[70, 84]","Anna A. Georges Eshoo /ˈɛʃuː/ ( born December 13 , 1942 ) is the U.S. Representative from California 's 18th congressional district , serving since 1993 ."
Anna Eshoo,Female,George Eshoo,spouse,"[0, 5]","[8, 14]","Anna A. Georges Eshoo /ˈɛʃuː/ ( born December 13 , 1942 ) is the U.S. Representative from California 's 18th congressional district , serving since 1993 ."
Anna Eshoo,Female,George Eshoo,spouse,"[0, 5]","[8, 14]","`` [ 35 ] Eshoo was married to attorney George Eshoo , with whom she has two children , Karen and Paul ."
Anna Eshoo,Female,George Eshoo,spouse,"[10, 15]","[40, 52]","Anna A. Georges Eshoo /ˈɛʃuː/ ( born December 13 , 1942 ) is the U.S. Representative from California 's 18th congressional district , serving since 1993 ."
Anna Eshoo,Female,George Eshoo,spouse,"[10, 15]","[40, 52]","`` [ 35 ] Eshoo was married to attorney George Eshoo , with whom she has two children , Karen and Paul ."
Anna Eshoo,Female,"December 13, 1942",birthDate,"[0, 5]","[37, 48]","Anna A. Georges Eshoo /ˈɛʃuː/ ( born December 13 , 1942 ) is the U.S. Representative from California 's 18th congressional district , serving since 1993 ."
Anna Eshoo,Female,"New Britain, Connecticut",birthPlace,"[51, 61]","[74, 85]","She is Assyrian paternally and Armenian maternally.Anna Eshoo was born in New Britain , Connecticut , of Assyrian and Armenian heritage ."
Anna Eshoo,Female,"New Britain, Connecticut",birthPlace,"[51, 61]","[74, 85]","[ 4 ] Eshoo graduated from New Britain High School in 1960 , and later moved to California ."
Anna Eshoo,Female,"New Britain, Connecticut",birthPlace,"[6, 11]","[27, 38]","She is Assyrian paternally and Armenian maternally.Anna Eshoo was born in New Britain , Connecticut , of Assyrian and Armenian heritage ."
Anna Eshoo,Female,"New Britain, Connecticut",birthPlace,"[6, 11]","[27, 38]","[ 4 ] Eshoo graduated from New Britain High School in 1960 , and later moved to California ."
Anna Eshoo,Female,Cañada College,NA,"[69, 74]","[46, 60]",She received an associate of arts degree from Cañada College in 1975.Eshoo was Chair of the San Mateo Democratic Party from 1978 to 1982 .
Thandie Newton,Female,Actress,hypernym,"[17, 23]","[368, 375]","Melanie Thandiwe Newton OBE ( /ˈtændi/ ; born 6 November 1972 ) is a British actress , [ 2 ] [ 3 ] who has appeared in British and American films.Newton is known for her starring roles , such as the title character in Beloved ( 1998 ) , Nyah Nordoff-Hall in Mission : Impossible 2 ( 2000 ) , Christine in Crash ( 2004 ) , for which she received a BAFTA Award for Best Actress in a Supporting Role , Linda in The Pursuit of Happyness ( 2006 ) , Condoleezza Rice in W. ( 2008 ) , Laura Wilson in 2012 ( 2009 ) , and Val in Solo : A Star Wars Story ( 2018 ) .Since 2016 , Newton has played the sentient android , the madam Maeve Millay , in the HBO science fiction-western series Westworld , for which she earned a Primetime Emmy Award for Outstanding Supporting Actress in a Drama Series and 2 Critics Choice Awards , as well as Golden Globe Award , Saturn Award , and Screen Actors Guild Award nominations ."
Thandie Newton,Female,Actress,hypernym,"[17, 23]","[368, 375]","In 2017 , she portrayed DCI Roz Huntley in the BBC drama series Line of Duty , which earned her a nomination for the British Academy Television Award for Best Actress.Newton was appointed Officer of the Order of the British Empire ( OBE ) in the 2019 New Year Honours for services to film and to charity ."
Thandie Newton,Female,Actress,hypernym,"[17, 23]","[368, 375]",Newton won a BAFTA award for Best Supporting Actress in 2006 for her role in Crash .
Thandie Newton,Female,Actress,hypernym,"[17, 23]","[368, 375]","In 2015 , she starred in the US miniseries The Slap.In 2016 , Newton began portraying Maeve Millay in HBO science fiction drama series Westworld , for which she won the Primetime Emmy Award for Outstanding Supporting Actress in a Drama Series , among other accolades ."
Thandie Newton,Female,Actress,hypernym,"[167, 173]","[159, 166]","Melanie Thandiwe Newton OBE ( /ˈtændi/ ; born 6 November 1972 ) is a British actress , [ 2 ] [ 3 ] who has appeared in British and American films.Newton is known for her starring roles , such as the title character in Beloved ( 1998 ) , Nyah Nordoff-Hall in Mission : Impossible 2 ( 2000 ) , Christine in Crash ( 2004 ) , for which she received a BAFTA Award for Best Actress in a Supporting Role , Linda in The Pursuit of Happyness ( 2006 ) , Condoleezza Rice in W. ( 2008 ) , Laura Wilson in 2012 ( 2009 ) , and Val in Solo : A Star Wars Story ( 2018 ) .Since 2016 , Newton has played the sentient android , the madam Maeve Millay , in the HBO science fiction-western series Westworld , for which she earned a Primetime Emmy Award for Outstanding Supporting Actress in a Drama Series and 2 Critics Choice Awards , as well as Golden Globe Award , Saturn Award , and Screen Actors Guild Award nominations ."
Thandie Newton,Female,Actress,hypernym,"[167, 173]","[159, 166]","In 2017 , she portrayed DCI Roz Huntley in the BBC drama series Line of Duty , which earned her a nomination for the British Academy Television Award for Best Actress.Newton was appointed Officer of the Order of the British Empire ( OBE ) in the 2019 New Year Honours for services to film and to charity ."
Thandie Newton,Female,Actress,hypernym,"[167, 173]","[159, 166]",Newton won a BAFTA award for Best Supporting Actress in 2006 for her role in Crash .
