age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
39,management,married,tertiary,no,429,no,no,cellular,18,aug,80,6,-1,0,unknown,no
55,admin.,married,primary,no,343,yes,no,cellular,14,jul,276,3,-1,0,unknown,no
42,management,married,tertiary,no,744,no,no,unknown,6,may,157,1,-1,0,unknown,no
40,management,married,tertiary,no,5142,no,no,cellular,13,jan,147,2,224,1,failure,no
56,technician,married,primary,no,0,yes,yes,cellular,24,jul,84,1,-1,0,unknown,no
34,services,married,secondary,no,0,yes,no,cellular,21,apr,95,1,-1,0,unknown,no
30,services,married,secondary,no,384,yes,no,unknown,16,jun,27,3,-1,0,unknown,no
31,blue-collar,married,primary,no,224,yes,no,cellular,18,may,119,1,-1,0,unknown,no
46,admin.,married,secondary,no,9319,yes,no,cellular,21,nov,31,7,-1,0,unknown,no
28,admin.,married,secondary,no,252,yes,no,unknown,9,may,448,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,196,yes,no,unknown,5,jun,66,3,-1,0,unknown,no
59,blue-collar,married,unknown,no,337,no,no,unknown,18,jun,100,4,-1,0,unknown,no
37,blue-collar,married,primary,no,3977,yes,no,cellular,17,apr,264,1,-1,0,unknown,no
51,technician,married,tertiary,no,1057,no,no,unknown,9,jun,149,2,-1,0,unknown,no
45,services,married,secondary,no,162,no,no,unknown,6,jun,166,4,-1,0,unknown,no
33,admin.,married,secondary,no,0,yes,no,cellular,10,jul,181,1,-1,0,unknown,no
41,blue-collar,married,secondary,no,16,no,no,cellular,29,jan,553,2,-1,0,unknown,no
41,admin.,married,secondary,no,4178,no,no,unknown,20,jun,168,2,-1,0,unknown,no
33,management,married,tertiary,no,1504,no,no,cellular,12,aug,61,2,-1,0,unknown,no
71,retired,married,secondary,no,1998,no,no,cellular,23,jun,201,1,-1,0,unknown,no
62,housemaid,married,secondary,no,2,no,no,cellular,3,nov,322,1,-1,0,unknown,yes
29,services,married,tertiary,no,0,no,yes,cellular,7,jul,158,1,-1,0,unknown,no
49,technician,married,secondary,no,626,yes,no,cellular,25,aug,90,4,-1,0,unknown,no
32,technician,married,unknown,no,196,yes,no,unknown,20,may,196,6,-1,0,unknown,no
40,management,married,secondary,no,1251,yes,no,cellular,5,aug,406,1,-1,0,unknown,no
51,blue-collar,married,primary,no,5206,yes,no,cellular,20,nov,168,3,-1,0,unknown,no
55,retired,married,secondary,no,31,no,no,unknown,18,jun,72,1,-1,0,unknown,no
41,blue-collar,married,secondary,no,108,yes,yes,unknown,7,may,203,1,-1,0,unknown,no
51,admin.,married,secondary,no,4178,yes,no,unknown,30,may,556,1,-1,0,unknown,no
36,blue-collar,married,primary,no,8135,yes,no,unknown,20,may,522,1,-1,0,unknown,no
57,blue-collar,married,primary,no,12048,yes,no,cellular,15,apr,103,2,-1,0,unknown,no
43,blue-collar,married,primary,no,56,no,no,cellular,12,may,365,2,-1,0,unknown,no
34,blue-collar,married,primary,no,336,yes,no,unknown,21,may,713,4,-1,0,unknown,no
49,management,married,secondary,no,338,no,no,cellular,25,aug,941,3,-1,0,unknown,no
27,technician,married,secondary,no,0,yes,no,cellular,28,jul,55,6,-1,0,unknown,no
31,technician,married,secondary,no,0,no,no,cellular,25,aug,249,6,-1,0,unknown,no
58,technician,married,unknown,no,1617,yes,no,cellular,5,feb,109,4,274,2,failure,no
51,admin.,married,secondary,no,1699,no,no,unknown,5,jun,153,2,-1,0,unknown,no
45,services,married,secondary,no,350,yes,yes,unknown,13,may,146,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,360,yes,no,telephone,19,nov,46,1,182,2,failure,no
42,unemployed,married,secondary,no,8131,yes,no,cellular,21,nov,173,4,175,1,failure,no
50,blue-collar,married,primary,no,61,yes,no,unknown,5,may,621,3,-1,0,unknown,no
67,admin.,married,primary,no,1093,no,no,telephone,8,jul,64,3,-1,0,unknown,no
38,blue-collar,married,secondary,no,8444,yes,no,cellular,17,apr,39,2,324,1,other,no
47,admin.,married,secondary,no,3960,yes,no,unknown,13,may,110,1,-1,0,unknown,no
37,entrepreneur,married,primary,no,1529,yes,no,cellular,20,apr,201,3,-1,0,unknown,no
44,entrepreneur,married,tertiary,no,624,no,no,telephone,14,aug,552,2,-1,0,unknown,yes
55,unemployed,married,secondary,no,1436,yes,no,cellular,4,feb,969,2,-1,0,unknown,no
31,blue-collar,married,secondary,no,-204,yes,yes,cellular,11,aug,429,7,-1,0,unknown,no
31,management,married,tertiary,no,2652,no,no,cellular,25,aug,9,9,-1,0,unknown,no
41,management,married,tertiary,no,176,yes,yes,unknown,5,may,42,1,-1,0,unknown,no
36,blue-collar,married,unknown,no,722,yes,no,cellular,18,nov,242,1,182,2,failure,no
45,admin.,married,secondary,no,204,yes,no,cellular,3,jun,224,2,-1,0,unknown,yes
28,admin.,married,secondary,no,1582,yes,no,unknown,3,jun,816,2,-1,0,unknown,no
32,housemaid,married,primary,no,344,yes,no,unknown,9,may,85,2,-1,0,unknown,no
48,blue-collar,married,primary,no,-83,no,no,cellular,14,aug,136,3,-1,0,unknown,no
34,blue-collar,married,primary,no,147,yes,no,unknown,2,jun,80,3,-1,0,unknown,no
32,technician,married,secondary,no,235,yes,no,telephone,28,aug,688,6,-1,0,unknown,no
35,housemaid,married,primary,no,77,no,no,cellular,8,aug,191,1,-1,0,unknown,no
55,retired,married,primary,no,3876,no,no,cellular,21,nov,54,1,-1,0,unknown,no
43,management,married,tertiary,no,13044,no,no,cellular,18,aug,36,4,-1,0,unknown,no
27,technician,married,secondary,no,267,yes,no,cellular,18,may,166,4,-1,0,unknown,no
58,blue-collar,married,unknown,no,3585,no,no,cellular,30,apr,122,1,167,1,success,no
58,blue-collar,married,primary,no,0,no,no,cellular,26,aug,168,4,-1,0,unknown,no
38,services,married,secondary,no,706,no,no,cellular,18,nov,206,2,-1,0,unknown,no
30,technician,married,secondary,no,817,yes,no,cellular,21,nov,208,3,91,4,failure,no
34,management,married,tertiary,no,3486,no,no,cellular,28,aug,23,10,-1,0,unknown,no
58,management,married,tertiary,no,4152,yes,no,cellular,13,may,76,7,13,6,success,no
57,retired,married,secondary,no,3545,yes,no,unknown,14,may,138,2,-1,0,unknown,no
59,retired,married,secondary,no,599,yes,no,cellular,7,may,31,1,-1,0,unknown,no
34,technician,married,secondary,no,5553,yes,no,unknown,23,may,258,5,-1,0,unknown,no
54,services,married,secondary,no,-22,no,yes,cellular,9,jul,85,1,-1,0,unknown,no
29,blue-collar,married,primary,no,459,yes,yes,cellular,17,apr,202,3,318,1,failure,no
41,technician,married,tertiary,no,-762,yes,yes,unknown,23,may,145,1,-1,0,unknown,no
46,management,married,tertiary,no,1038,yes,yes,unknown,15,may,200,3,-1,0,unknown,no
31,admin.,married,secondary,no,54,yes,no,cellular,21,nov,226,1,-1,0,unknown,no
44,admin.,married,secondary,no,1248,yes,yes,cellular,8,may,428,3,-1,0,unknown,no
51,entrepreneur,married,secondary,no,0,yes,yes,cellular,16,apr,432,1,150,1,failure,no
33,management,married,tertiary,no,0,no,no,cellular,27,aug,181,4,-1,0,unknown,no
59,housemaid,married,primary,no,352,no,no,telephone,21,jul,132,10,-1,0,unknown,no
38,services,married,secondary,no,311,no,yes,cellular,25,jul,114,12,-1,0,unknown,no
28,services,married,secondary,no,462,yes,yes,cellular,5,feb,410,1,-1,0,unknown,no
43,technician,married,primary,no,2586,yes,no,cellular,20,apr,354,1,-1,0,unknown,no
26,blue-collar,married,secondary,no,622,yes,no,cellular,21,jul,471,2,-1,0,unknown,no
58,retired,married,secondary,yes,-146,no,yes,cellular,28,aug,192,8,-1,0,unknown,no
36,entrepreneur,married,secondary,no,1163,yes,no,cellular,18,may,420,7,363,1,failure,no
56,retired,married,secondary,no,415,no,no,cellular,22,aug,158,2,-1,0,unknown,no
42,services,married,unknown,no,1340,no,yes,cellular,30,jul,88,5,-1,0,unknown,no
53,blue-collar,married,secondary,no,208,no,no,unknown,20,jun,333,15,-1,0,unknown,no
45,blue-collar,married,secondary,no,28,no,yes,cellular,4,feb,215,1,222,1,other,no
43,blue-collar,married,secondary,no,678,yes,yes,cellular,13,apr,299,3,-1,0,unknown,no
52,management,married,tertiary,no,19797,yes,no,unknown,2,jun,966,3,-1,0,unknown,no
33,blue-collar,married,secondary,no,312,yes,no,unknown,4,jun,151,2,-1,0,unknown,no
58,retired,married,secondary,no,610,yes,no,unknown,6,jun,651,1,-1,0,unknown,no
43,technician,married,tertiary,no,80,no,no,cellular,28,aug,9,32,-1,0,unknown,no
51,blue-collar,married,primary,no,2995,yes,no,unknown,11,jun,93,2,-1,0,unknown,no
48,services,married,primary,no,1496,yes,no,telephone,29,jan,284,2,258,2,failure,no
43,blue-collar,married,primary,no,1794,yes,no,unknown,20,jun,35,1,-1,0,unknown,no
56,admin.,married,secondary,no,1504,yes,no,unknown,29,may,66,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,2737,yes,no,cellular,13,may,199,3,-1,0,unknown,no
43,management,married,tertiary,no,1188,no,no,cellular,27,may,140,2,-1,0,unknown,no
42,housemaid,married,unknown,no,302,yes,no,cellular,11,jul,342,2,-1,0,unknown,no
53,retired,married,primary,no,2010,no,yes,unknown,6,jun,182,1,-1,0,unknown,no
35,blue-collar,married,tertiary,no,1016,yes,no,cellular,17,jul,294,2,-1,0,unknown,no
41,self-employed,married,secondary,no,1,no,no,cellular,19,aug,55,4,-1,0,unknown,no
36,blue-collar,married,secondary,no,204,yes,no,cellular,20,apr,28,5,-1,0,unknown,no
35,blue-collar,married,primary,no,159,yes,yes,cellular,12,may,826,1,-1,0,unknown,yes
49,services,married,secondary,no,4697,yes,no,cellular,31,jul,66,1,-1,0,unknown,no
56,entrepreneur,married,tertiary,no,-65,yes,no,unknown,30,jun,45,2,-1,0,unknown,no
46,management,married,secondary,no,1114,no,no,cellular,31,jul,87,8,-1,0,unknown,no
38,blue-collar,married,secondary,no,924,yes,no,unknown,21,may,108,2,-1,0,unknown,no
32,blue-collar,married,secondary,no,0,yes,no,unknown,28,may,386,3,-1,0,unknown,no
39,housemaid,married,unknown,no,0,no,no,cellular,26,aug,92,2,-1,0,unknown,no
47,technician,married,tertiary,no,1115,yes,no,telephone,23,jul,18,9,-1,0,unknown,no
33,technician,married,secondary,no,1264,no,yes,cellular,8,aug,100,6,-1,0,unknown,no
59,self-employed,married,primary,no,671,yes,no,cellular,15,may,57,2,332,3,failure,no
36,management,married,tertiary,no,22,no,no,cellular,2,oct,91,2,-1,0,unknown,no
29,services,married,secondary,no,690,yes,no,cellular,14,apr,553,2,316,1,other,no
47,housemaid,married,primary,no,32,no,no,cellular,5,aug,231,2,-1,0,unknown,no
32,blue-collar,married,primary,no,0,yes,yes,cellular,8,may,82,2,361,4,failure,no
45,blue-collar,married,secondary,no,-221,yes,yes,unknown,3,jun,170,1,-1,0,unknown,no
43,management,married,tertiary,no,-271,yes,yes,telephone,14,may,121,1,-1,0,unknown,no
34,management,married,secondary,no,5127,no,yes,cellular,10,jul,559,2,-1,0,unknown,no
28,blue-collar,married,primary,no,-196,no,no,cellular,7,jul,209,1,-1,0,unknown,no
35,technician,married,secondary,no,2,no,no,telephone,28,jan,653,3,-1,0,unknown,no
38,entrepreneur,married,tertiary,no,1649,no,yes,cellular,6,sep,218,2,432,3,success,no
55,blue-collar,married,primary,no,1086,yes,no,cellular,6,may,146,1,272,2,failure,no
46,entrepreneur,married,tertiary,no,9,no,no,cellular,8,apr,126,6,-1,0,unknown,no
36,entrepreneur,married,secondary,no,35,no,no,cellular,4,feb,517,4,-1,0,unknown,no
37,admin.,married,secondary,no,1396,yes,no,cellular,22,jul,199,2,-1,0,unknown,no
52,management,married,tertiary,no,6909,no,no,cellular,20,nov,223,1,-1,0,unknown,no
45,housemaid,married,primary,no,317,yes,no,cellular,8,apr,325,2,-1,0,unknown,no
80,retired,married,secondary,no,462,no,no,cellular,7,dec,127,2,-1,0,unknown,no
58,blue-collar,married,secondary,no,602,yes,no,cellular,13,may,201,1,-1,0,unknown,no
56,management,married,tertiary,no,94,no,no,cellular,23,jul,530,3,-1,0,unknown,no
36,management,married,tertiary,no,481,yes,no,cellular,13,may,215,1,175,3,failure,no
27,technician,married,tertiary,no,276,no,no,unknown,16,may,218,2,-1,0,unknown,no
38,blue-collar,married,secondary,no,84,no,yes,telephone,11,jul,328,2,-1,0,unknown,no
45,blue-collar,married,primary,no,-485,yes,no,cellular,7,aug,122,2,-1,0,unknown,no
46,blue-collar,married,primary,no,327,no,yes,cellular,16,jul,145,4,-1,0,unknown,no
45,technician,married,unknown,no,473,yes,no,unknown,27,may,147,1,-1,0,unknown,no
22,services,married,secondary,no,14,yes,yes,unknown,20,may,56,1,-1,0,unknown,no
64,retired,married,secondary,no,1574,no,no,telephone,29,jul,301,3,-1,0,unknown,yes
34,unemployed,married,tertiary,no,822,no,no,unknown,1,aug,11,1,-1,0,unknown,no
48,housemaid,married,tertiary,no,5473,no,no,cellular,24,aug,232,2,-1,0,unknown,yes
53,management,married,tertiary,yes,-252,no,yes,cellular,24,jul,223,2,-1,0,unknown,no
48,admin.,married,secondary,no,387,no,yes,telephone,20,nov,761,3,-1,0,unknown,no
30,management,married,tertiary,no,11,no,no,cellular,15,jul,84,5,-1,0,unknown,no
59,unknown,married,primary,no,1247,no,no,telephone,7,jul,66,8,-1,0,unknown,no
53,entrepreneur,married,secondary,no,0,yes,no,telephone,10,jul,311,27,-1,0,unknown,no
50,management,married,secondary,no,732,no,no,cellular,7,apr,736,7,-1,0,unknown,no
41,self-employed,married,tertiary,no,231,no,no,cellular,7,aug,352,2,-1,0,unknown,yes
35,management,married,secondary,no,1825,yes,no,unknown,2,jun,42,1,-1,0,unknown,no
27,technician,married,tertiary,no,13,yes,no,telephone,6,feb,24,5,-1,0,unknown,no
42,blue-collar,married,unknown,no,1260,yes,no,unknown,14,may,79,3,-1,0,unknown,no
33,blue-collar,married,secondary,no,3576,yes,no,cellular,2,apr,124,1,308,2,other,no
44,blue-collar,married,secondary,no,85,yes,no,unknown,9,may,116,2,-1,0,unknown,no
43,services,married,primary,no,448,yes,no,unknown,26,may,118,6,-1,0,unknown,no
33,management,married,tertiary,no,431,yes,no,telephone,27,oct,51,1,-1,0,unknown,no
28,admin.,married,secondary,no,934,yes,no,unknown,4,jul,53,2,-1,0,unknown,no
35,management,married,tertiary,no,6,yes,yes,unknown,15,may,136,1,-1,0,unknown,no
26,admin.,married,secondary,no,3415,no,no,cellular,8,apr,209,1,-1,0,unknown,yes
39,services,married,secondary,no,18,yes,yes,cellular,20,apr,155,1,154,2,failure,no
30,blue-collar,married,secondary,no,90,yes,no,cellular,12,may,232,1,-1,0,unknown,no
30,blue-collar,married,secondary,no,399,no,yes,cellular,20,nov,282,2,-1,0,unknown,no
52,management,married,tertiary,no,388,no,no,cellular,25,may,272,1,-1,0,unknown,yes
39,technician,married,tertiary,no,11766,yes,no,cellular,14,aug,313,4,102,5,failure,no
43,management,married,tertiary,no,1646,yes,no,cellular,20,nov,214,1,-1,0,unknown,no
52,blue-collar,married,primary,no,1271,no,no,cellular,18,aug,131,3,-1,0,unknown,no
46,unemployed,married,secondary,no,16397,no,no,cellular,18,nov,641,1,-1,0,unknown,no
48,housemaid,married,secondary,no,1397,no,no,cellular,31,jul,66,2,-1,0,unknown,no
48,management,married,tertiary,no,1519,no,no,cellular,25,aug,360,5,-1,0,unknown,no
34,admin.,married,secondary,no,1551,yes,yes,cellular,8,jul,188,2,82,4,other,no
32,admin.,married,secondary,no,-540,yes,yes,unknown,30,may,53,7,-1,0,unknown,no
59,retired,married,primary,no,0,yes,no,cellular,28,jul,20,4,-1,0,unknown,no
54,blue-collar,married,primary,no,4503,no,no,telephone,21,nov,168,3,-1,0,unknown,no
36,blue-collar,married,secondary,no,56,yes,no,cellular,9,jul,183,1,-1,0,unknown,no
30,technician,married,secondary,no,24,yes,no,cellular,18,jul,112,3,-1,0,unknown,no
55,technician,married,secondary,no,2313,yes,no,unknown,9,may,551,2,-1,0,unknown,no
35,technician,married,tertiary,no,1354,no,no,cellular,2,jun,250,2,-1,0,unknown,yes
44,blue-collar,married,primary,no,-89,no,yes,cellular,23,jul,187,4,-1,0,unknown,no
29,admin.,married,secondary,no,111,no,yes,cellular,11,jul,114,1,-1,0,unknown,no
57,management,married,tertiary,no,1172,no,no,unknown,18,jun,26,1,-1,0,unknown,no
38,technician,married,secondary,no,27,yes,no,unknown,3,jun,404,4,-1,0,unknown,no
57,management,married,tertiary,no,1287,yes,no,cellular,8,apr,180,2,-1,0,unknown,no
44,technician,married,secondary,no,0,yes,no,unknown,30,may,243,3,-1,0,unknown,no
53,self-employed,married,tertiary,no,3711,no,no,cellular,19,nov,64,1,-1,0,unknown,no
53,admin.,married,secondary,no,465,no,yes,unknown,12,may,95,3,-1,0,unknown,no
31,blue-collar,married,primary,no,224,yes,no,unknown,20,jun,20,19,-1,0,unknown,no
46,admin.,married,primary,no,469,yes,no,cellular,2,feb,75,1,264,10,other,no
40,blue-collar,married,primary,no,106,yes,no,cellular,12,may,23,1,370,1,failure,no
41,services,married,secondary,no,121,yes,no,cellular,17,apr,41,1,324,1,other,no
53,entrepreneur,married,tertiary,no,1046,yes,yes,cellular,30,jul,50,20,-1,0,unknown,no
34,management,married,tertiary,no,16,yes,no,telephone,29,sep,316,1,119,1,other,yes
67,retired,married,primary,no,4416,no,no,cellular,29,sep,245,3,-1,0,unknown,yes
32,management,married,tertiary,no,2414,no,no,cellular,12,aug,439,4,-1,0,unknown,no
44,blue-collar,married,secondary,no,1308,no,no,cellular,30,jan,334,1,-1,0,unknown,no
54,retired,married,secondary,no,1139,yes,no,cellular,14,may,155,1,177,7,failure,no
43,management,married,tertiary,no,1429,yes,no,cellular,7,may,1030,1,169,3,success,yes
28,entrepreneur,married,tertiary,no,4064,no,yes,cellular,11,may,93,2,-1,0,unknown,no
44,admin.,married,tertiary,no,1588,yes,no,unknown,3,jun,84,15,-1,0,unknown,no
31,blue-collar,married,secondary,no,3659,no,no,unknown,2,jun,180,1,-1,0,unknown,no
32,blue-collar,married,primary,no,1518,yes,no,telephone,6,feb,35,3,-1,0,unknown,no
30,services,married,unknown,no,280,yes,yes,unknown,28,may,674,2,-1,0,unknown,no
34,services,married,secondary,no,2956,no,no,cellular,6,aug,835,2,-1,0,unknown,yes
28,admin.,married,secondary,no,-201,yes,no,unknown,12,may,286,4,-1,0,unknown,no
30,management,married,tertiary,no,692,yes,yes,cellular,21,jul,336,4,-1,0,unknown,no
34,technician,married,secondary,no,1641,yes,no,cellular,17,apr,380,1,-1,0,unknown,no
47,blue-collar,married,secondary,no,33,no,no,telephone,17,nov,27,1,-1,0,unknown,no
41,housemaid,married,primary,no,3291,yes,no,unknown,15,may,125,4,-1,0,unknown,no
43,technician,married,secondary,no,307,no,no,cellular,21,jul,145,2,-1,0,unknown,no
46,management,married,tertiary,no,3984,no,no,cellular,13,aug,77,2,-1,0,unknown,no
32,technician,married,secondary,no,-95,yes,no,cellular,29,jul,935,4,-1,0,unknown,no
27,blue-collar,married,tertiary,no,335,yes,no,unknown,26,jun,519,3,-1,0,unknown,yes
53,technician,married,unknown,no,619,no,no,unknown,17,jun,198,6,-1,0,unknown,no
